character,line
Monica, ...Pheebs?
Phoebe, Oh  well... 'cause.... you just... I don't like this question.
Rachel, Okay  see  see  you guys  what if we don't get magic beans? I mean  what if all we've got are.. beans?
Ross, Get him! GET HIM! Get him! Get- YESSS! Not laughing now  are ya pal!
Chandler,  See buddy  that's all you need  a bunch of toothless guys hitting each other with sticks.
Ross, Pass it! Pass it!
Chandler, He's open!
Chandler, Hey  look  we're on that TV thing!
Chandler, 'Scuse me.
Chandler, Listen  it's kind of an emergency. Well  I guess you know that  or we'd be in the predicament room. 
Ross,  Look  I don't wanna make any trouble  okay  but I'm in a lot of pain here  alright? My face is dented.
Joey, Well  how long do you think it'll be?
Ross, Hey  this-  Heyy...
Rachel, I'm so sorry  you guys. I didn't mean to bring you down.
Monica, No  you were right. I don't have a plan. 
Rachel, Thank God. Food. 
Monica, Phoebe?
Phoebe, What?
Monica, Do you have a plan?
Phoebe, I don't even have a 'pl'.
Rachel,  No  no  that's not what we ordered... We ordered a fat-free crust with extra cheese.
Monica,  Wait! Did you say 'G.Stephanopoulos?'
Monica, Wait  was this a-a small mediterranean guy with curiously intelligent good looks?
Monica, Was he wearing a stunning blue suit?
Phoebe, And-and a power tie?
Monica,  Oh God.
Monica, Are you nuts?! We've got George Stephanopoulos' pizza! 
Rachel, Uh  Pheebs? Who's George Snuffalopagus?
Phoebe, Big Bird's friend.
Monica, I see pizza!
Phoebe, Oh  I wanna see! Lemme see! Lemme see! 
Rachel, Hello? Who are we spying on?
Monica, White House adviser? Clinton's campaign guy? The one with the great hair  sexy smile  really cute butt?
Rachel, Oh  him  the little guy? Oh  I love him!
Phoebe, Ooh  wait.. wait  I see a woman.
Monica, Please tell me it's his mother.
Phoebe, Definitely not his mother.
Monica, Oh  no...
Phoebe, Oh  wait  she's walking across the floor.. she's walking.. she's walking.. she's going for the pizza-  Hey  that's not for you  bitch! 
Chandler, Excuse me  look  we've been here for over an hour  and a lot of people less sick than my friend have gone in. I mean  that guy with the toe thing? Who's he sleeping with?  Oh  c'mon Dora  don't be mad... I know we both said some things we didn't mean  but that doesn't mean we still don't love each other.  Y'know  I feel like I've lost her..  Ba-!
Monica, Light still out?
Rachel, Yeah.
Monica, Oh. Maybe they're- napping.
Rachel, Oh please  they're having sex.
Rachel, So  whaddya think George is like?
Monica, I think he's shy.
Phoebe, Yeah?
Monica, Yeah. I think you have to draw him out. And then- when you do- he's a preppy animal.
Ross, I remember the moonlight coming through the window- and her face had the most incredible glow.
Chandler, Yes  the moon  the glow  the magical feeling  you did this part- Could I get some painkillers over here  please?
Joey, He's right  enough  already. What is the big deal about today? So you slept with her for the first time  so what? You slept with her for seven years after that.
Ross, Look  it's just a little more complicated...
Chandler, Well  what? What? What is it? That she left you? That she likes women? That she left you for another woman that likes women?
Ross, Little louder  okay  I think there's a man on the twelfth floor in a coma that didn't quite hear you...
Chandler, Then what?
Ross, My first time with Carol was... 
Joey, What?
Ross, It was my first time.
Joey, With Carol?  Oh.
Chandler, So in your whole life  you've only been with one——oh.
Joey, Whoah  boy  hockey was a big mistake! There was a whole bunch of stuff we could've done tonight!
Monica, Okay. Okay  I got one. Do you remember that vegetarian pate that I made that you loved so much?
Phoebe, Uh-huh.
Monica, Well  unless goose is a vegetable...ha haaaah!
Phoebe, Oh! Oh! Oh! Okay  fine  fine. Now I don't feel so bad about sleeping with Jason Hurley.
Monica, What?! You slept with Jason?
Phoebe, You'd already broken up.
Rachel, How long?
Phoebe, A couple hours.
Monica, Oh  that's nice!
Rachel, Okay  okay  okay  I got one!  Anyway- The valentine Tommy Rollerson left in your locker was really from me.
Monica, Excuse me?!
Rachel, Hello? Like he was really gonna send you one?  She was a big girl.
Monica, Really. Well  at least 'big girls' don't pee in their pants in seventh grade!
Rachel, I was laughing! You made me laugh! 
Phoebe, There he is! There he is!
Monica, Where?
Phoebe, Right- where we've been looking all night!
Rachel, He is so cute!
Monica, Oh  George  baby  drop the towel!
Joey, Man. Can you believe he's only had sex with one woman?
Chandler, I think it's great. Y'know  it's sweet  it's romantic...
Joey, Really?
Chandler, No  you kidding? The guy's a freak.. 
Ross, Hi. 
Chandler, Oh  I thought you were great in Silence of the Lambs. Oh come on  admit it! All things considered  you had fun tonight.
Ross, Fun? Where was the fun? Tell me specifically  which part was the fun part? Where's my puck?
Joey, Oh  ah- the kid has it.
Ross, The kid...?  Excuse me  uh  that's  that's my puck.
Chandler, You gotta do it  man.
Ross,  Oh yeah? Well  I'm rubber  you're glue  whatever——can't do it.  Listen  uh- gimme back my puck.
Ross, 'Yes'  how about. C'mere. Gimme!
Ross,  GIVE ME MY PUCK!! 
Ross, ...Now that was fun.
Ross,  Okay  Monica: Right foot red.
Monica, Could've played Monopoly  but nooooo.
Chandler, Thanks. 
Ross, Okay  Pheebs: Right hand blue. Good. 
Chandler, Hello? Oh  uh  Rachel  it's the Visa card people.
Rachel, Oh  okay. Will you take my place?
Chandler, Alright.  Yes  this is Rachel.
Rachel, Nooo!   Hello?  Oh  yeah  no  I know  I-I haven't been using it much.  Oh  well  thanks  but  I'm okay  really.
Ross, Green. To the green.
Rachel,  I've got magic beans.  Never-never mind.
Chandler, To the left  to the left- aww! 
Rachel,  Ohhh... I'm fine.
Monica, Would you let it go? It's not that big a deal.
Ross, Not that big a deal? It's amazing. Ok  you just reach in there  there's one little maneuver  and bam  a bra right out the sleeve. All right  as far as I'm concerned  there is nothing a guy can do that even comes close. Am I right?
Rachel, Come on! You guys can pee standing up.
Chandler, We can? All right  I'm tryin' that.
Joey, Ok  you know what blows my mind? Women can see breasts any time they want. You just look down and there they are. How you get any work done is beyond me.
Phoebe, Oh  ok  you know what I don't get? The way guys can do so many mean things  and then not even care.
Ross, Multiple orgasms!
Chandler, So  Saturday night  the big night  date night  Saturday night  Sat-ur-day night!
Joey, No plans  huh?
Chandler, Not a one.
Ross, Not even  say  breaking up with Janice?
Chandler, Oh  right  right  shut up.
Monica, Chandler  nobody likes breaking up with someone. You just gotta do it.
Chandler, No  I know  but it's just so hard  you know? I mean  you're sitting there with her  she has no idea what's happening  and then you finally get up the courage to do it  and there's the horrible awkward moment when you've handed her the note.
Joey, Why do you have to break up with her? Be a man  just stop calling.
Phoebe, You know  if you want  I'll do it with you.
Chandler, Oh  thanks  but I think she'd feel like we're gangin' up on her.
Phoebe, No  I mean you break up with Janice and I'll break up with Tony.
Ross, Tony?
Monica, Oh  you're breaking up with Tony?
Phoebe, Yeah  I know  he's sweet  but it's just not fun anymore  you know? I don't know if it's me  or his hunger strike  or  I don't know.
Rachel,  Does anybody want anything else?
Ross, Oh  yeah  last week you had a wonderful  nutty  chocolatey kind of a cakey pie thing.  Nothing  just  just  I'm fine.
Phoebe,  What's the matter? Why so scrunchy?
Rachel, It's my father. He wants to give me a Mercedes convertible.
Ross, That guy  he burns me up.
Rachel, Yeah  well  it's a Mercedes if I move back home. Oh  it was horrible. He called me young lady.
Chandler, Ooh  I hate when my father calls me that.
Monica," Did he give you that whole ""You're-not-up-to-this"" thing again?"
Rachel," Oh  yeah  yeah. Actually  I got the extended disco version  with three choruses of ""You'll never make it on your own""."
Phoebe,  Uh-huh  uh-huh.
Joey, My god  Angela.
Monica, Wow  being dumped by you obviously agrees with her.
Phoebe, Are you gonna go over there?
Joey, No  yeah  no  ok  but not yet. I don't wanna seem too eager. One Mississippi  two Mississippi  three Mississippi. That seems pretty cool.  Hey  Angela.
Joey, You look good.
Joey, You don't say.
Ross, So  uh  Rachel  what are you  uh  what're you doing tonight?
Rachel, Oh  big glamour night. Me and Monica at Laundorama.
Ross, Oh  you uh  you wanna hear a freaky coincidence? Guess who's doing laundry there too?
Rachel, Who?
Ross, Me. Was that not clear? Hey  why don't  um  why don't I just join you both  here?
Rachel, Don't you have a laundry room in your building?
Ross, Yes  I do have a laundry room in my building  um  but there's a.... rat problem. Apparently they're attracted to the dryer sheets  and they're goin' in fine  but they're comin' out all.... fluffy. Anyway  say  sevenish?
Rachel, Sure.
Joey, Bob? Who the hell's Bob?
Joey, Come on  we were great together. And not just at the fun stuff  but like  talking too.
Joey, What?
Joey, Fine  fine  so  why don't the four of us go out and have dinner together tonight? You know  as friends?
Joey, You know  you and Bob  and me and my girlfriend  uh  uh  Monica.
Joey, Monica  I'm tellin' you  this guy is perfect for you.
Monica, Forget it. Not after your cousin who could belch the alphabet.
Joey, Come on. This guy's great. His name's Bob. He's Angela's... brother. He's smart  he's sophisticated  and he has a real job. Me  I go on three auditions a month and call myself an actor  but Bob is...
Monica,  Oh  god help us.
Joey, What?
Monica, Ugly Naked Guy's laying kitchen tile. Eww!
Joey, Eww! Look  I'm asking a favor here. If I do this for her brother  maybe Angela will come back to me.
Monica, What's going on here? You go out with tons of girls.
Joey,  I know  but  I made a huge mistake. I never should have broken up with her. Will you help me? Please?
Ross,  Ok  bye.  Well  Monica's not coming  it's just gonna be me and Rachel.
Chandler, Oh. Well  hold on camper  are you sure you've thought this thing through?
Ross, It's laundry. The thinking through is minimal.
Chandler, It's just you and Rachel  just the two of you? This is a date. You're going on a date.
Ross, Nuh-uh.
Chandler, Yuh-huh.
Ross, So what're you saying here? I should shave again  pick up some wine  what?
Chandler, Well  you may wanna rethink the dirty underwear. This is basically the first time she's gonna see your underwear—you want it to be dirty?
Ross,  No.
Chandler, Oh  and uh  the fabric softener?
Ross, Ok  ok  now what is wrong with my Snuggles? What  it says I'm a sensitive  warm kinda guy  you know  like a warm  fuzzy bear. Ok  I can pick something else up on the way.
Chandler, There you go.
Monica, Thank you. So what does this Bob guy look like? Is he tall? Short?
Joey, Yep.
Monica, Which?
Joey, Which what?
Monica, You've never met Bob  have you?
Joey, No  but he's...
Monica, Oh my god  Joey  for all we know this guy could be horribly...
Monica, ...horribly attractive. I'll be shutting up now.
Chandler, Where are they? Where are they?
Phoebe, This is nice. We never do anything just the two of us.
Chandler, It's great. Maybe tomorrow we can rent a car and run over some puppies.
Phoebe, Eww  I don't wanna do that.
Chandler, Here we go.
Phoebe, Ok  have a good break-up.
Chandler, Hey  Janice.
Chandler, Hey  that's not good. Can I get an espresso and a latte over here  please?
Chandler, What?
Chandler,  What... did you get me there?
Chandler, Bullwinkle socks. That's so sweet.
Chandler, That's great.
Chandler, Well  I'm gonna get another espresso. Can I get you another latte?
Chandler, That's it?
Phoebe, Yeah  it was really hard.
Chandler, Oh  yeah  that hug looked pretty brutal.
Phoebe, Ok  you weren't there.
Rachel, Oh  'scuse me. I was kinda using that machine.
Rachel, But I saved it. I put my basket on top.
Rachel, What?
Ross, What's goin' on?
Rachel, Hi  uh  nothing. That horrible woman just took my machine.
Ross, Was your basket on top?
Rachel, Yeah  but  there were no suds.
Ross, So?
Rachel, Well  you know  no suds  no save.
Ross, No suds? Excuse me  hold on a second.  That's my friend's machine.
Ross, Hey  hey  hey  that's not the rule and you know it.
Ross,  All right  show's over. Nothing to see here.  Ok  let's do laundry.
Rachel, That was amazing. I can't even send back soup.
Ross, Well  that's because you're such a sweet  gentle  uh...Do you  uh  do you...Oh  hey  uh you must need detergent.
Rachel, What's that?
Ross, Uberveiss. It's new  it's German  it's extra-tough.
Ross, Rach  do you uh  are you gonna separate those?
Rachel, Oh god. Oh  am I being like a total laundry spaz? I mean  am I supposed to use like one machine for shirts and another machine for pants?
Ross, Rach  have you never done this before?
Rachel, Well  not myself  but I know other people that have. Ok  you caught me. I'm a laundry virgin.
Ross, Uh  well  don't worry  I'll use the gentle cycle. Ok  um  basically you wanna use one machine for all your whites  a whole nother machine for colors  and a third for your uh  your uh  delicates  and that would be your bras and your under-panty things.
Rachel,  Ok  Well  what about these are white cotton panties. Would they go with whites or delicates?
Ross,  Uh  that  that  that would be a judgment call.
Monica,  He is so cute.  So  where did you guys grow up?
Monica, How  how did that happen?
Joey, Oh my god.
Monica, What?
Joey, I suddenly had the feeling that I was falling. But I'm not.
Joey, So  you and Angela  huh?
Joey, You're a lucky man. You know what I miss the most about her? That cute nibbly noise when she eats. Like a happy little squirrel  or a weasel.
Joey, Oh  yeah  yeah  listen for it.
Joey, Yeah  but it's not gonna last. She's too much for me in bed. Sexually.
Monica, I've gotta tell you  Bob is terrific.
Monica, It is so great to meet a guy who is smart and funny  and has an emotional age beyond  like eight.
Monica, Wow. My brother never even told me when he lost his virginity.
Phoebe, Ok  you can do this. It's just like pulling off a Band-aid. Just do it really fast  and then the wound is exposed.
Chandler, Janice. Hi  Janice. Ok  here we go. I don't think we should go out anymore. Janice.
Rachel, Ok  I know this is gonna sound really stupid  but I feel that if I can do this  you know  if I can actually do my own laundry  there isn't anything I can't do.
Ross, That does not sound stupid to me. You know  it's like the first time I had to make dinner for myself  after Carol left me?  I'm sorry  that's all the time we have. Next on Ross... Uh-oh.
Rachel, What uh-oh?
Ross,  Uh-oh  uh-oh  the laundry's done. It's  uh  it's a song. The laundry song that we sing.  Uh-oh the laundry's done  uh-oh  uh-oh.
Rachel, Ross  what's the matter?
Ross, Nothing  nothing. Lee-lo  the laundry's done.
Rachel, Come on  show me.
Ross, All right  all right  it's just that you left a red sock in with all your whites  and now  everything's kinda pink.
Rachel, Oh  everything's pink.
Ross, Yeah  uh  except for the red sock  which is still red. I'm sorry  please don't be upset  it could happen to anyone.
Rachel, Except it didn't. It happened to me. Oh  god  I'm gonna look like a big marshmallow peep. What am I doing? What am I doing? My father's right. I can't live on my own! I can't even do laundry!
Monica, Something went wrong with Underdog  and they couldn't get his head to inflate. So anyway  um  his head is like flopping down Broadway  right  and I'm just thinking... how inappropriate this is. Um  I've got something in my eye  uh  Joey  could we check it in the light  please?
Monica, Oh my god.
Joey, What?
Monica, Hello! Were we at the same table? It's like... cocktails in Appalachia.
Joey, Come on  they're close.
Monica, Close? She's got her tongue in his ear.
Joey, Oh  like you've never gotten a little rambunctious with Ross.
Monica, Joey  this is sick  it's disgusting  it's  it's—not really true  is it?
Joey, Well  who's to say what's true? I mean...
Monica, Oh my god  what were you thinking?
Joey, All right  look  I'm not proud of this  ok? Well  maybe I am a little.
Monica,  Oh!
Joey, Ow!
Monica,  I'm outta here.
Joey, Wait  wait  wait. You want him  I want her. He likes you.
Monica, Really?
Joey, Yeah. I'm thinking  if we put our heads together  between the two of us  we can break them up.
Monica, I'm so sorry  I can't believe I did this  but I couldn't stop laughing at your Norman Mailer story.
Joey, Uh  waiter  one more plate of chicken wings over here.
Chandler, Here's the thing  Janice. You know  I mean  it's like we're different. I'm like the bing  bing  bing. You're like the boom  boom  ... boom.
Chandler, Oh  my god  I'm so sorry. Are you ok?
Chandler,  I hit her in the eye! I hit her in the eye! This is the worst break-up in the history of the world.
Phoebe, Oh my god.  How many of those have you had?
Chandler, Oh  I don't know  a million?
Phoebe, Chandler  easy  easy. Go to your happy place. La la la la la la la.
Chandler, I'm fine.
Phoebe, All right.
Chandler, I'm not fine. Here she comes.
Phoebe, Wait here. Breathe.
Chandler, How do you do that?
Phoebe, It's like a gift.
Chandler, We should always always break up together.
Phoebe, Oh  I'd like that.
Ross, You got the clothes clean. Now that's the important part.
Rachel, Oh  I guess. Except everything looks like jammies now.
Rachel, Whoa  I'm sorry. Excuse me. We had this cart.
Rachel, I'm sorry  you know  maybe I wasn't being clear. Uh  this is our cart.
Rachel, Hey  hey  hey  hey  quit making up rules!
Rachel, All right  listen  missy. If you want this cart  you're gonna have to take me with it!
Rachel,  Yes! Did you see that?
Ross, You were incredible! Brand new woman  ladies and gentlemen.
Rachel, I could not have done this without you.
Ross, Ok  um  uh  more clothes in the dryer?  I'm fine  I'm fine.
Rachel, Are you sure?
Ross, No.
Rachel, Oh  are you sure you're ok?
Ross, Yeah.
Rachel, Does it still hurt?
Ross, Yeah.
Phoebe,  What a neat idea. All your clothes match. I'm gonna do this.
Monica, Hi.
Phoebe, Hey  how'd it go?
Joey, Excellent.
Monica, We ripped that couple apart  and kept the pieces for ourselves.
Ross, What a beautiful story. Hey  I'm fine by the way.
Monica,  Oh  I'm sorry.
Rachel, Where's Chandler?
Phoebe, Oh  he needed some time to grieve.
Chandler, I'm free! I'm free!
Phoebe, That oughta do it.
Rachel,  Ooh! Look! Look! Look! Look  there's Joey's picture! This is so exciting!
Chandler, You can always spot someone who's never seen one of his plays before. Notice  no fear  no sense of impending doom...
Phoebe, The exclamation point in the title scares me.  Y'know  it's not just Freud  it's Freud!
Ross, Oh  shhh  shh. Magic is about to happen.
Joey, Vell  Eva  ve've done some excellent vork here  and I vould have to say  your pwoblem is qviiite clear. 
Rachel, God. I feel violated.
Monica, Did anybody else feel they just wanted to peel the skin off their body  to have something else to do?
Chandler,  Ross  ten o'clock.
Ross, Is it? Feels like two.
Chandler, No  ten o'clock.
Ross, What?
Chandler,  There's a beautiful woman at eight  nine  ten o'clock!
Ross, Oh. Hel-lo!
Chandler, She's amazing! She makes the women that I dream about look like short  fat  bald men!
Monica, Well  go over to her! She's not with anyone.
Chandler, Oh yeah  and what would my opening line be? 'Excuse me. Blarrglarrghh.'
Rachel, Oh  c'mon. She's a person  you can do it!
Chandler, Oh please  could she be more out of my league? Ross  back me up here.
Ross, He could never get a woman like that in a million years.
Chandler, Thank you  buddy.
Phoebe, Oh  oh  but y'know  you always see these really beautiful women with these really nothing guys  you could be one of those guys.
Monica, You could do that!
Chandler, Y'think?
Chandler, Oh God  I can't believe I'm even considering this... I'm very very aware of my tongue...
Ross, C'mon! C'mon!
Chandler, Here goes. 
Chandler, Hi.... um... okay  next word... would be... Chandler! Chandler is my name  and  uh......hi.
Chandler, Yes  yes I did  but what I didn't say was what I was about to say  what I wanted to say was  uh... would you like to go out with me sometime  thankyou  goodnight. 
Joey, Whadja think?
Joey, C'mon  you guys  it wasn't that bad. It was better than that thing I did with the trolls  at least you got to see my head.
Chandler,  She said yes!! She said yes!!  Awful play  man. Whoah.  Her name's Aurora  and she's Italian  and she pronounces my name 'Chand-lrr'. 'Chand-lrr'. I think I like it better that way.  Oh  listen  the usher gave me this to give to you. 
Rachel, What is it?
Joey, The Estelle Leonard Talent Agency. Wow  an agency left me its card! Maybe they wanna sign me!
Phoebe, Based on this play? ...Based on this play!
Chandler, Hey  kids.
Phoebe,  No  'cause this line is passion  and this is... just a line.
Chandler, Well  I can't believe I've been here almost seven seconds and you haven't asked me how my date went.
Monica, Oh  right  right. How was your date  'Chand-lrr'?
Chandler, It was unbelievable. I-I've never met anyone like her. She's had the most amazing life! She was in the Israeli army...
Chandler, Alright. Once I got on the subway  right  and it was at night  and I rode it all the way to Brooklyn... just for the hell of it.
Chandler, We talked 'til like two. It was this perfect evening... more or less.
Chandler, Oh  I'm sorry  so 'we' is?
Joey, Who's Rick?
Chandler, Who's Rick?
Chandler, Oh  so you're divorced?
Chandler, Oh  I'm sorry  then you're widowed?...Hopefully?
Chandler, So tell me  how do- how do you think your husband would feel about you sitting here with me?...Sliding your foot so far up my pant leg you can count the change in my pocket?
Chandler, Ethan? There's  there's an Ethan?
Chandler, So explain something to me here  uh  what kind of a relationship do you imagine us having if you already have a husband and a boyfriend?
Chandler, ...Hm.
Monica, Oh. I'm sorry it didn't work out.
Chandler, What 'not work out'? I'm seeing her again on Thursday. Didn't you listen to the story?
Monica, Didn't you listen to the story? I mean  this is twisted! How could you get involved with a woman like this?
Chandler, Well  y'know  I had some trouble with it at first too  but the way I look at it is  I get all the good stuff: all the fun  all the talking  all the sex; and none of the responsibility. I mean  this is every guy's fantasy!
Phoebe, Oh  yeah. That is not true. Ross  is this your fantasy?
Ross, No  of course not!  ...Yeah  yeah  it is.
Monica, What? So you guys don't mind going out with someone else who's going out with someone else?
Joey, I couldn't do it.
Monica, Good for you  Joey.
Joey, When I'm with a woman  I need to know that I'm going out with more people than she is.
Ross, Well  y'know  monogamy can be a  uh  tricky concept. I mean  anthropologically speaking-
Ross, Fine. Fine  alright  now you'll never know.
Monica, We're kidding. C'mon  tell us!
Ross, Alright. There's a theory  put forth by Richard Leakey-
Rachel, Tah-daaah!
Chandler, Are we greeting each other this way now? 'Cause I like that.
Rachel, Look! I cleaned! I did the windows  I did the floors... I even used all the attachments on the vacuum  except that little round one with the bristles  I don't know what that's for.
Ross, Oh yeah  nobody knows. And we're not supposed to ask.
Rachel, Well  whaddya think?
Monica, ...Oh! I-I see you moved the green ottoman.
Monica, How-how did that happen?
Rachel, I dunno.. I-I thought it looked better there. And I- and also  it's an extra seat around the coffee table.
Monica, Yeah  yeah  it's interesting.. but y'know what? Just for fun  let's see what it looked like in the old spot.  Alright  just to compare. Let's see. Well  it looks good there too. Let's just leave it there for a while.
Phoebe,  I can't believe you tried to move the green ottoman.
Chandler, Thank God you didn't try to fan out the magazines. I mean  she'll scratch your eyes right out.
Monica, You guys  I am not that bad!
Phoebe, Yeah  you are  Monica. Remember when I lived with you? You were like  a little  y'know   Ree! Ree! Ree! Ree!
Monica, That is so unfair!
Ross, Oh c'mon! When we were kids  yours was the only Raggedy Ann doll that wasn't raggedy!
Monica, Okay  so I'm responsible  I'm organised. But hey  I can be a kook.
Ross, Alright  you madcap gal. Try to imagine this. The phone bill arrives  but you don't pay it right away.
Monica, Why not?
Ross, Because you're a kook! Instead you wait until they send you a notice.
Monica, I could do that.
Rachel, Okay  uh  you let me go grocery shopping  and I buy laundry detergent  but it's not the one with the easy-pour spout.
Monica, Why would someone do that?! ...One might wonder.
Chandler, Someone's left a glass on the coffee table. There's no coaster. It's a cold drink  it's a hot day. Little beads of condensation are inching their way closer and closer to the surface of the wood...
Monica, STOP IT!! ...Oh my God. It's true! Who am I?
Ross, Monica? You're Mom.
Phoebe, Ree! Ree! Ree! Ree! Ree!
Joey,  Uh huh.. uh huh... oh my God! Okay! Okay  I'll be there!  That was my agent.  My agent has just gotten me a job...in the new Al Pacino movie!
Monica, Well  what's the part?
Joey," Can you believe this? Al Pacino! This guy's the reason I became an actor! ""I'm out of order? Pfeeeh. You're out of order! This whole courtroom's out of order!"""
Phoebe, Seriously  what-what's the part?
Joey," ""Just when I thought I was out  they pull me back in!"""
Ross, C'mon  seriously  Joey  what's the part?
Joey, ...I'm his 
Rachel, ..You're  you're 'mah mah mah' what?
Joey, ...I'm his butt double. 'Kay? I play Al Pacino's butt. Alright? He goes into the shower  and then- I'm his butt.
Monica,  Oh my God.
Joey, C'mon  you guys. This is a real movie  and Al Pacino's in it  and that's big!
Chandler, Oh no  it's terrific  it's... it's... y'know  you deserve this  after all your years of struggling  you've finally been able to crack your way into showbusiness.
Joey, Okay  okay  fine! Make jokes  I don't care! This is a big break for me!
Ross, You're right  you're right  it is...So you gonna invite us all to the big opening?
Monica, Alright  alright  alright...
Joey, Here. I need to borrow some moisturizer.
Monica, For what?
Joey, Whaddya think? Today's the big day!
Monica, Oh my God. Okay  go into the bathroom  use whatever you want  just don't ever tell me what you did in there.
Joey, Thank you! 
Chandler, Where's Joey? His mom's on the phone.
Monica, He's in the bathroom. I don't think you wanna go in there!
Chandler, C'mon  we're roommates!  My eyes!! My eyes!!
Monica, I warned you...
Rachel, Who is being loud?
Chandler, Oh  that would be Monica. Hey  listen  I wanna borrow a coupla things  Aurora spent the night  I really wanna make her breakfast.
Monica, Oh  you got the whole night  huh?
Chandler, Yeah  well  I only have twenty minutes until Ethan  so  y'know.. 
Rachel, Ooh  do I sense a little bit of resentment?
Chandler, No  no resentment  believe me  it's worth it. 'Kay? Y'know in a relationship you have these key moments that you know you'll remember for the rest of your life? Well  every- single- second is like that with Aurora.. and I've just wasted about thirty-five of them talking to you people  so  uh.. Monica  can you help me with the door? 
Monica, Sure. Oh  um  Chandler? Y'know  the-the old Monica would-would remind you to scrub that Teflon pan with a plastic brush...But I'm not gonna do that.
Joey, Uh  listen  I just wanna thank you for this great opportunity.
Joey, Me?
Joey, Right. Okay. Losing the robe.  And the robe is lost.
Joey, Well  I'm- I'm showering.
Joey, Oh. Well  the way I see it  the guy's upset here  y'know? I mean  his wife's dead  his brother's missing... I think his butt would be angry here.
Joey, I was going for quiet desperation. But if you have to ask...
Chandler, God  I love these fingers...
Chandler, No  actually I meant my fingers. Look at 'em  look at how happy they are.
Chandler, Oh no nonononononnononono  don't go.. 
Chandler, Don't go.
Chandler,  Too bad  she's leaving.
Chandler, Well  I thought- I thought you talked to Rick.
Chandler, What  Ethan? He got to spend the whole day with you!
Chandler, I know there'll be many moments in the years to come when I'll regret asking the following question  but- And Andrew is?
Chandler, Oh  so what you're saying is you're not completely fulfilled by Rick  Ethan and myself?
Chandler, Well  y'know  most women would kill for three guys like us.
Chandler, You.
Chandler, Nono  just you.
Chandler, Lose the other guys.
Chandler, C'mon  we're great together  why not?
Chandler, ...Well  y'know  part of me wants that  but it's like I'm two guys  y'know? I mean  one guy's going 'Shut up! This is great!' But there's this other guy. Actually it's the same guy that wells up every time that Grinch's heart grows three sizes and breaks that measuring device... And he's saying  y'know  'This is too hard! Get out! Get out!'
Chandler, I don't know  I-I have to listen to both of them  they don't exactly let each other finish...
Chandler, ...The second guy.
Chandler, Sorry  the first guy runs the lips.
Ross, Look at it this way: you dumped her. Right? I mean  this woman was unbelievably sexy  and beautiful  intelligent  unattainable... Tell me why you did this again?
Monica, Hey  waitwait  aren't you the guy that plays the butt in the new Al Pacino movie?
Joey, Nope.
Ross, No? What happened  big guy?
Chandler,"  ""Big guy?"""
Ross, It felt like a 'big guy' moment.
Joey, I got fired.
Joey, Yeah  they said I acted too much with it. I told everybody about this! Now everybody's gonna go to the theatre  expecting to see me  and...
Rachel, Oh  Joey  you know what  no-one is gonna be able to tell.
Joey, My mom will.
Chandler, Something so sweet and...disturbing about that.
Joey, Y'know  I've done nothing but crappy plays for six years. And I finally get my shot  and I blow it!
Monica, Maybe this wasn't your shot.
Ross, Yeah  I mean... I think when it's your shot  y'know  you-you know it's your shot. Did it... feel like your shot..?
Joey, Hard to tell  I was naked.
Phoebe, No  I don't think this was your shot. I mean  I don't even think you just get one shot. I really believe big things are gonna happen for you  I do! You've gotta just keep thinking about the day that some kid is gonna run up to his friends and go 'I got the part! I got the part! I'm gonna be Joey Tribbiani's ass!'.
Joey, Yeah? That's so nice! 
Monica, I'm sorry  Joey. I'm gonna go to bed  guys.
Rachel, Uh  Mon  you-you gonna leave your shoes out here?
Monica,  Uh-huh!
Rachel, Really? Just casually strewn about in that reckless haphazard manner?
Monica, Doesn't matter  I'll get 'em tomorrow. Or not. Whenever. 
Ross, She is a kook.
Monica,  If it bothers you that much  just go out and get the shoes. No. Don't do this. This is stupid! I don't have to prove anything  I'm gonna go get them...But then everyone will know. Unless I get them  and then wake up really early and put them back! ...I need help! 
Rachel, Everybody? Shh  shhh. Uhhh... Central Perk is proud to present the music of Miss Phoebe Buffay.
Phoebe, Hi. Um  I want to start with a song thats about that moment when you suddenly realize what life is all about. OK  here we go.  OK  thank you very much.
Chandler, Oh  great. This is just...
Rachel, Wow  this is so cool  you guys. The entire city is blacked out!
Monica, Mom says it's all of Manhattan  parts of Brooklyn and Queens  and they have no idea when it's coming back on.
Rachel, Wow  you guys  this is big.
Monica,  Pants and a sweater? Why  mom? Who am I gonna meet in a blackout? Power company guys? Eligible looters? Could we talk about this later? OK. 
Phoebe, Can I borrow the phone? I want to call my apartment and check on my grandma.  What's my number?
Phoebe, Well  I never call me.
Chandler, Oh my God  it's that Victoria's Secret model. Something... something Goodacre.
Chandler, She's right  it's Jill. Jill Goodacre. Oh my God. I am trapped in an ATM vestibule with Jill Goodacre!  Is it a vestibule? Maybe it's an atrium. Oh  yeah  that is the part to focus on  you idiot!
Chandler, Jill says vestibule... I'm going with vestibule.
Chandler, Oh! Some guy. Some guy. 'Hey Jill  I saw you with some guy last night. Yes  he was some guy.
Joey, Hi everyone.
Ross, And officiating at tonight's blackout  is Rabbi Tribbiani.
Joey, Well  Chandler's old roomate was Jewish  and these are the only candles we have  so... Happy Chanukah  everyone.
